Brad-Pitt,495,194,261,283,Brad-Pitt_video1_Trimmed_1.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,487,210,251,268,Brad-Pitt_video1_Trimmed_10.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,517,183,270,283,Brad-Pitt_video1_Trimmed_100.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,522,186,278,277,Brad-Pitt_video1_Trimmed_101.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,517,184,256,275,Brad-Pitt_video1_Trimmed_102.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,518,196,264,260,Brad-Pitt_video1_Trimmed_103.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,525,189,248,270,Brad-Pitt_video1_Trimmed_104.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,519,192,252,275,Brad-Pitt_video1_Trimmed_105.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,514,193,260,268,Brad-Pitt_video1_Trimmed_106.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,526,192,254,273,Brad-Pitt_video1_Trimmed_107.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,528,182,248,282,Brad-Pitt_video1_Trimmed_108.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,527,185,246,278,Brad-Pitt_video1_Trimmed_109.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,487,208,262,267,Brad-Pitt_video1_Trimmed_11.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,535,180,239,284,Brad-Pitt_video1_Trimmed_110.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,523,181,254,286,Brad-Pitt_video1_Trimmed_111.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,526,178,270,293,Brad-Pitt_video1_Trimmed_112.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,538,196,248,269,Brad-Pitt_video1_Trimmed_113.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,525,194,268,277,Brad-Pitt_video1_Trimmed_114.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,533,185,243,286,Brad-Pitt_video1_Trimmed_115.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,530,194,258,282,Brad-Pitt_video1_Trimmed_116.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,534,179,260,286,Brad-Pitt_video1_Trimmed_117.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,538,186,249,288,Brad-Pitt_video1_Trimmed_118.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,532,183,249,284,Brad-Pitt_video1_Trimmed_119.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,487,201,244,276,Brad-Pitt_video1_Trimmed_12.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,538,188,251,273,Brad-Pitt_video1_Trimmed_120.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,534,188,257,279,Brad-Pitt_video1_Trimmed_121.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,543,179,243,289,Brad-Pitt_video1_Trimmed_122.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,545,184,232,273,Brad-Pitt_video1_Trimmed_123.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,539,185,245,275,Brad-Pitt_video1_Trimmed_124.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,540,191,246,281,Brad-Pitt_video1_Trimmed_125.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,538,197,248,268,Brad-Pitt_video1_Trimmed_126.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,546,196,237,263,Brad-Pitt_video1_Trimmed_127.jpeg,1280,720,Male,(38-43),white|latino hispanic
Brad-Pitt,541,192,249,273,Brad-Pitt_video1_Trimmed_128.jpeg,1280,720,Male,(38-43),white|latino hispanic
